Time (sec),RPM,Air Temp (F),Coolant Temp (F),TPS (%),Battery Volt (V),Fuel Angle (deg),Accel Compensation - Fuel (%),Air Temp Compensation - Fuel (%),Digital Input Compensation - Fuel (%),Digital Input #1,Digital Input #2,Digital Input #3,Digital Input #4,Digital Input #5,Digital Input #6,Digital Input #7,Digital Input #8,Oil Prsr,Shock FR,Shock FL,Shock RR,Shock RL,Steering,    an#8,WhSpd FR,WhSpd FL,WhSpd RR,WhSpd RL,Measured Lambda #1,Measured #1-Target (Lambda),Analog #1 (volts),Analog #2 (volts),Analog #3 (volts),Analog #4 (volts),Analog #5 (volts),Analog #6 (volts),Analog #7 (volts),Analog #8 (volts),
0.000,4651,77.2,183.4,17.2,11.50,530.0,100.0,100.0,100.0,0,0,1,0,0,0,0,0,42.72,3.13,0.01,0.01,4.70,1.67,2.02,0.0,0.0,0.1,0.0,0.00,-1.00,0.01,2.21,3.97,0.01,0.01,4.81,1.71,2.07,
0.100,4802,77.2,183.4,17.7,11.50,530.0,100.0,100.0,100.0,0,0,1,0,0,0,0,0,45.59,3.13,0.01,0.01,4.62,1.67,1.99,0.0,0.0,0.1,0.0,0.00,-1.00,0.01,2.32,3.97,0.01,0.01,4.73,1.71,2.04,
0.201,4935,77.2,183.4,21.3,11.50,530.0,100.0,100.0,100.0,0,0,1,0,0,0,0,0,45.97,3.13,0.01,0.01,4.67,1.67,2.13,0.0,0.0,0.1,0.0,0.00,-1.00,0.01,2.34,3.97,0.01,0.01,4.78,1.71,2.18,
0.300,4952,77.2,183.4,19.8,11.50,530.0,100.0,100.0,100.0,0,0,1,0,0,0,0,0,47.27,3.13,0.01,0.01,4.66,1.67,2.11,0.0,0.0,0.1,0.0,0.00,-1.00,0.01,2.39,3.97,0.01,0.01,4.77,1.71,2.16,
0.400,4966,77.2,183.4,22.1,11.50,530.0,100.0,100.0,100.0,0,0,1,0,0,0,0,0,47.30,3.13,0.01,0.01,4.65,1.67,2.03,0.0,0.0,0.1,0.0,0.00,-1.00,0.01,2.39,3.97,0.01,0.01,4.77,1.71,2.08,
0.500,5195,77.2,183.4,21.1,11.50,530.0,100.0,100.0,100.0,0,0,1,0,0,0,0,0,50.38,3.13,0.01,0.01,4.33,1.67,1.96,0.0,0.0,0.1,0.0,0.00,-1.00,0.01,2.52,3.97,0.01,0.01,4.44,1.71,2.00,
0.600,5233,77.2,183.4,20.3,11.50,530.0,100.0,100.0,100.0,0,0,1,0,0,0,0,0,50.84,3.13,0.01,0.01,4.32,1.67,1.95,0.0,0.0,0.1,0.0,0.00,-1.00,0.01,2.53,3.97,0.01,0.01,4.42,1.71,2.00,
0.700,5400,77.2,183.4,20.2,11.50,530.0,100.0,100.0,100.0,0,0,1,0,0,0,0,0,52.52,3.13,0.01,0.01,4.37,1.67,1.94,0.0,0.0,0.1,0.0,0.00,-1.00,0.01,2.60,3.97,0.01,0.01,4.47,1.71,1.99,
0.800,5839,77.2,183.4,17.6,11.50,530.0,100.0,100.0,100.0,0,0,1,0,0,0,0,0,58.55,3.13,0.01,0.01,4.37,1.67,2.02,0.0,0.0,0.1,0.0,0.00,-1.00,0.01,2.84,3.97,0.01,0.01,4.47,1.71,2.07,
0.900,6163,77.2,183.4,17.2,11.50,530.0,100.0,100.0,100.0,0,0,1,0,0,0,0,0,63.32,3.13,0.01,0.01,4.25,1.67,2.00,0.0,0.0,0.1,0.0,0.00,-1.00,0.01,3.03,3.97,0.01,0.01,4.35,1.71,2.05,
1.000,6217,77.2,183.4,16.1,11.50,530.0,100.0,100.0,100.0,0,0,1,0,0,0,0,0,64.97,3.13,0.01,0.01,4.38,1.67,2.04,0.0,0.0,0.1,0.0,0.00,-1.00,0.01,3.10,3.97,0.01,0.01,4.49,1.71,2.09,
1.100,6185,77.2,183.4,14.0,11.50,530.0,100.0,100.0,100.0,0,0,1,0,0,0,0,0,64.30,3.13,0.01,0.01,4.31,1.67,1.90,0.0,0.0,0.1,0.0,0.00,-1.00,0.01,3.07,3.97,0.01,0.01,4.41,1.71,1.94,
