Time (sec),RPM,Air Temp (F),Coolant Temp (F),TPS (%),MAP (psi),Battery Volt (V),Fuel Angle (deg),Accel Compensation - Fuel (%),Air Temp Compensation - Fuel (%),Map Compensation - Fuel (%),Digital Input Compensation - Fuel (%),Digital Input #1,Digital Input #2,Digital Input #3,Digital Input #4,Digital Input #5,Digital Input #6,Digital Input #7,Digital Input #8,Oil Prsr,Shock FR,Shock RL,Steering,    an#8,WhSpd FR,WhSpd FL,WhSpd RR,WhSpd RL,Measured Lambda #1,Measured #1-Target (Lambda),Analog #1 (volts),Analog #2 (volts),Analog #3 (volts),Analog #4 (volts),Analog #5 (volts),Analog #6 (volts),Analog #7 (volts),Analog #8 (volts),
0.000,5138,77.2,165.4,4.7,12.47,12.10,530.0,100.0,100.0,100.0,100.0,0,0,1,0,0,0,0,0,56.97,3.16,4.44,1.67,2.02,0.0,0.0,24.6,0.0,0.00,-1.00,0.01,2.78,4.01,0.01,0.01,4.54,1.71,2.07,
0.101,6024,77.2,165.4,0.0,11.73,12.10,530.0,100.0,100.0,100.0,100.0,0,0,1,0,0,0,0,0,68.02,3.13,4.51,1.66,2.12,0.0,0.0,24.1,0.0,0.00,-1.00,0.01,3.22,3.97,0.01,0.01,4.62,1.70,2.17,
0.200,5449,77.2,165.4,0.0,11.16,12.10,530.0,100.0,100.0,100.0,100.0,0,0,0,0,0,0,0,0,64.75,3.12,4.52,1.65,2.08,0.0,0.0,24.3,0.0,0.00,-1.00,0.01,3.09,3.97,0.01,0.01,4.63,1.69,2.13,
0.300,4724,77.2,165.4,0.0,11.64,12.10,530.0,100.0,100.0,100.0,100.0,0,0,0,0,0,0,0,0,54.09,3.12,4.59,1.65,2.08,0.0,0.0,24.0,0.0,0.00,-1.00,0.01,2.66,3.96,0.01,0.01,4.70,1.69,2.13,
0.400,4045,77.2,165.4,6.7,12.12,12.10,530.0,100.0,100.0,100.0,100.0,0,0,1,0,0,0,0,0,43.50,3.14,4.77,1.66,2.14,0.0,0.0,24.1,0.0,0.00,-1.00,0.01,2.24,3.99,0.01,0.01,4.89,1.70,2.19,
0.500,4179,77.2,165.4,7.3,12.57,12.10,530.0,100.0,100.0,100.0,100.0,0,0,1,0,0,0,0,0,42.57,3.13,4.77,1.67,2.14,0.0,0.0,24.1,0.0,0.00,-1.00,0.01,2.20,3.98,0.01,0.01,4.89,1.71,2.19,
0.600,4822,77.2,165.4,7.9,12.52,12.00,530.0,100.0,100.0,100.0,100.0,0,0,0,0,0,0,0,0,51.50,3.12,4.54,1.66,2.01,0.0,0.0,23.9,0.0,0.00,-1.00,0.01,2.56,3.96,0.01,0.01,4.65,1.70,2.05,
0.700,5485,77.2,165.4,0.0,12.13,12.10,530.0,100.0,100.0,100.0,100.0,0,0,1,0,0,0,0,0,61.30,3.13,4.47,1.67,2.00,0.0,0.0,23.6,0.0,0.00,-1.00,0.01,2.95,3.97,0.01,0.01,4.57,1.71,2.05,
0.800,5798,77.2,165.4,0.0,11.29,12.10,530.0,100.0,100.0,100.0,100.0,0,0,0,0,0,0,0,0,67.84,3.12,4.51,1.66,2.10,0.0,0.0,23.6,0.0,0.00,-1.00,0.01,3.21,3.96,0.01,0.01,4.62,1.70,2.15,
0.900,5002,77.2,165.4,0.0,11.38,12.10,530.0,100.0,100.0,100.0,100.0,0,0,0,0,0,0,0,0,58.52,3.13,4.42,1.66,2.12,0.0,0.0,23.3,0.0,0.00,-1.00,0.01,2.84,3.97,0.01,0.01,4.53,1.70,2.18,
